Name,Aspect,Curvature,Slope,Elevation,Area,Geology,Extent,Domain
Debris slide,189.09112040201825,84241040.0,51.5397211710612,1327.6666666666667,2447.215,LHS Daling,Gangtok basin,1.0
Translational slide,84.40715735299247,-80845852.07142857,22.475354807717455,892.4285714285713,5746.813,LHS Daling,Gangtok basin,1.0
Rock slide,144.07086486816405,-95472406.4,42.776921844482416,684.8,8672.744,LHS Daling,Gangtok basin,1.0
Debris slide,34.69739786783854,-109437522.66666669,32.13572629292806,1910.6666666666667,1221.026,LHS Daling,Gangtok basin,1.0
Debris slide,102.55788803100585,-457197472.0,34.3602180480957,1825.5,1483.205,LHS Daling,Gangtok basin,1.0
Debris slide,189.508290608724,-78000458.66666667,45.5541623433431,1376.6666666666667,1976.927,LHS Daling,Gangtok basin,1.0
Debris slide,198.54761123657224,-3059643.0,42.39989948272705,1179.25,2626.739,LHS Daling,Gangtok basin,1.0
Debris slide,194.46183166503909,-328751731.2,49.45972900390625,1521.2,3735.548,LHS Daling,Gangtok basin,1.0
Debris slide,178.84041341145834,-180480210.66666663,42.10983022054037,2216.333333333333,2664.543,LHS Daling,Gangtok basin,1.0
Debris slide-flow,322.3076631728917,-20603764.726027396,40.05331185745867,484.16438356164383,63082.834,LHS Daling,Gangtok basin,1.0
Shallow translational slide,149.2694320678711,229678472.0,52.65362548828125,1049.5,1585.365,LHS Daling,Gangtok basin,1.0
Rock slide,108.72891253516786,18737198.30357143,23.080600624992734,855.6428571428571,35912.202,LHS Daling,East Sikkim,1.0
Debris slide,182.94592285156247,28802456.0,54.782093048095696,1472.0,2357.121,LHS Daling,East Sikkim,1.0
Rock slide,51.640505107243854,-62255556.4,45.340792592366526,834.4666666666667,11826.84,LHS Daling,East Sikkim,1.0
Debris slide-flow,256.5699056181925,-73825476.62987587,34.02887615582622,885.5460992907801,239204.305,LHS Daling,East Sikkim,1.0
Debris slide,144.81910526051243,-107830581.1764706,23.4692959504969,559.0,12879.661,LHS Daling,East Sikkim,1.0
Rock slide,147.16822204589843,-96479211.0,41.48654174804688,1420.2,4322.3,LHS Daling,East Sikkim,1.0
Debris slide,156.91712723397944,139893691.2831958,6.609101975458276,602.6052192459455,1214.1,LHS Daling,East Sikkim,1.0
Debris slide,159.27640533447268,-39957358.0,33.64648723602295,1051.0,2576.08,LHS Daling,East Sikkim,1.0
Debris slide,139.88107299804688,-183959352.0,31.33259677886963,633.5,1829.747,LHS Daling,East Sikkim,1.0
Debris slide,139.01684189465288,91919338.04927424,28.24167050852473,1986.9459872919608,1474.116,LHS Daling,East Sikkim,1.0
Translational slide,152.21851603190103,-231362544.0,22.342288970947266,1579.0,2753.559,LHS Daling,East Sikkim,1.0
Debris slide,149.46066999138563,-23240190.4826678,35.0909754374021,1766.851702366048,920.323,LHS Daling,East Sikkim,1.0
Debris slide,148.02794506828178,5023517.106861837,33.33820271026513,1693.0150374217403,638.517,LHS Daling,East Sikkim,1.0
Debris slide,175.80415734513363,-140828274.4244073,44.175689814991244,936.4148496530065,1523.014,LHS Daling,East Sikkim,1.0
Debris slide,87.03191248575847,-70919548.33333333,20.01733016967773,1275.1666666666667,8847.291,LHS Daling,East Sikkim,1.0
Shallow translational slide,100.77855236959248,-230501559.86841395,22.751419353622648,1114.6175072943915,1108.882,LHS Daling,East Sikkim,1.0
Rock slide,253.84988888426,-107671380.88043478,39.65195249474567,1120.3695652173913,39564.306,LHS Daling,East Sikkim,2.0
Rock slide,204.56980426494889,-13125013.153846152,33.38044107877291,1811.153846153846,10244.69,LHS Daling,East Sikkim,2.0
Debris slide,148.78457223215412,-46498392.48387097,40.46854320649177,677.2580645161289,26210.676,LHS Daling,Sikkim,2.0
Rock slide,203.09920580633752,-46974102.79310345,39.36086592180976,1411.2413793103449,24263.516,LHS Daling,Sikkim,
Debris slide,161.83427548875997,-167308093.39215687,47.630485974106136,844.7058823529411,45207.172,LHS Daling,Sikkim,
Debris slide,95.1078643798828,-175549349.27272728,36.605599923567326,677.1818181818181,18641.079,LHS Daling,Sikkim,
Debris slide,265.0707469267004,-34905714.881127454,25.50920032987408,1443.8921568627452,87317.812,LHS Daling,Sikkim,
Rock slide,267.99818929036456,-172628060.19047615,22.755660284133185,1222.6190476190477,18378.814,LHS Daling,Sikkim,
Debris slide,220.42549554232892,-46353344.68965517,33.262231004649195,1205.7241379310344,49208.492,LHS Daling,Sikkim,
Debris slide-flow,203.50866859837583,-142257145.0,31.407487819069303,647.5789473684209,15642.71,LHS Daling,Sikkim,
Rock slide,154.85581164889865,-142559889.2222222,48.767772144741485,1650.222222222222,32245.499,LHS Daling,Sikkim,
Debris slide,199.62521244929388,-47409576.85576923,35.14136490455041,1464.076923076923,11564.944,LHS Daling,Sikkim,
Debris slide,177.0829200744629,-100979721.79166669,55.81765397389729,970.8333333333331,11202.743,LHS Daling,Sikkim,
Debris slide,207.96187482561385,-254674440.0,46.45816584995815,1138.857142857143,6678.015,LHS Daling,Sikkim,
Rock slide,161.80305077894678,-53171524.66037735,39.67872601635051,1601.4905660377356,44365.486,LHS Daling,Sikkim,
Debris slide,274.72224680582684,-69629964.06770833,38.22349592049917,917.125,38209.576,LHS Daling,Sikkim,
Translational slide,142.80075225830075,-160127793.5,55.93696327209473,692.8,9309.904,LHS Daling,Sikkim,
Rock slide,207.5203990106997,10393048.554347826,30.81341726883598,1370.1521739130435,39623.204,LHS Daling,Sikkim,
Debris slide,106.29861891404198,123245058.91056015,26.6614758379691,740.5041541858942,579.903,LHS Daling,Sikkim,
Debris slide,106.34857432047527,-131598965.99999999,44.7893443637424,1930.3333333333328,7019.361,LHS Daling,Sikkim,
Rock slide,77.71346024672192,-56512586.317708336,31.676653193930793,1632.03125,80339.446,LHS Daling,Sikkim,
Translational slide,216.94362432306465,-292516097.27272725,46.38555561412465,1837.8181818181813,7948.118,LHS Daling,Sikkim,
Rock slide,137.53947587446734,-23857601.727272727,38.57307061282072,1894.4545454545453,19609.187,LHS Daling,Sikkim,
Debris slide,160.06318918863934,-12120994.666666666,33.85772260030111,1347.8333333333333,6637.181,LHS Daling,Sikkim,
Debris slide,174.2297572599364,-329673612.37946683,45.44857549023245,1479.592181772694,889.107,LHS Daling,Sikkim,
Debris slide,200.77502296084447,-160423216.0952381,51.34667441958473,1396.2380952380952,18453.864,LHS Daling,Sikkim,
Translational slide,244.26932525634763,-297002592.0,36.270374298095696,819.5,1831.634,LHS Daling,Sikkim,
